逝者姓名,身份证件类型代码,身份证件号码,性别代码,年龄,户籍地址,火化证件发证单位,火化证件编号,火化日期,火化所在殡仪馆
沈彬,01,120000192105071830,1,2,浙江省敏县崇文倪路P座 878922,XX殡仪馆,HZ551952,2026-01-05,XX市殡仪馆
李杨,01,540000194110307569,0,71,江西省丽娟县六枝特范街e座 103027,XX殡仪馆,HZ583372,2026-01-05,XX市殡仪馆
师玉华,01,530000201111139668,1,117,福建省坤市海陵梧州街x座 533008,XX殡仪馆,HZ666309,2026-01-01,XX市殡仪馆
陶红霞,01,620000202107085683,1,120,河北省香港县沈北新王路H座 143413,XX殡仪馆,HZ869222,2026-01-06,XX市殡仪馆
李志强,01,410000201809221359,0,6,海南省太原市新城沈阳路X座 912455,XX殡仪馆,HZ439232,2026-01-06,XX市殡仪馆
孙伟,01,320000196911309554,0,102,天津市兰州市金平张街o座 402380,XX殡仪馆,HZ878215,2026-01-07,XX市殡仪馆
龚桂荣,01,330000194410088581,0,20,安徽省秀兰市徐汇张路N座 555773,XX殡仪馆,HZ864945,2026-01-07,XX市殡仪馆
王静,01,320000196401125691,1,17,重庆市淮安市和平广州街K座 195154,XX殡仪馆,HZ132631,2026-01-02,XX市殡仪馆
范洋,01,140000194202095204,1,30,甘肃省广州县丰都严路d座 843691,XX殡仪馆,HZ831811,2026-01-05,XX市殡仪馆
吴凤兰,01,34000019470410485X,1,107,江苏省天津市黄浦刘街x座 328182,XX殡仪馆,HZ483238,2026-01-03,XX市殡仪馆
何华,01,640000201701282830,1,61,河北省淑兰县永川佛山街N座 512615,XX殡仪馆,HZ160360,2026-01-10,XX市殡仪馆
张雪梅,01,220000196102255003,1,117,宁夏回族自治区玉市白云王路c座 175791,XX殡仪馆,HZ530407,2026-01-08,XX市殡仪馆
任雪梅,01,500000191806242731,0,98,吉林省柳州县和平陈街o座 441656,XX殡仪馆,HZ297471,2026-01-07,XX市殡仪馆
曹欣,01,640000200210196095,0,120,福建省南昌市东城宁德路V座 403140,XX殡仪馆,HZ497327,2026-01-06,XX市殡仪馆
