逝者姓名,身份证件类型代码,身份证件号码,性别代码,民族代码,年龄,职业代码,文化程度代码,生前工作单位,生前常住地址,户籍地址,亲属姓名,亲属关系代码,亲属联系电话,亲属住址,出生日期,死亡日期,死亡地点代码,死亡原因,签发日期,签发机构
黄飞,01,210000201502053269,0,20,4,09,04,易动力网络有限公司,北京市澳门县新城舒街n座 101639,辽宁省永安县梁平海口街y座 311604,王霞,01,15204287877,天津市欣县江北天津路W座 468391,1938-01-14,2000-07-13,03,责任或者精华中文最大.,2026-01-05,XX医院
黄杰,01,500000193405199575,1,23,45,07,04,菊风公司传媒有限公司,澳门特别行政区云市锡山任街Q座 317534,吉林省秀兰县大东曲街B座 634184,戴桂荣,01,15826138683,浙江省玉县牧野张街M座 114741,1952-10-01,2005-05-09,05,工程具有其实查看无法软件.,2026-01-10,XX医院
安志强,01,120000193706105244,1,42,47,04,02,趋势科技有限公司,甘肃省澳门市蓟州韩街H座 416081,广西壮族自治区秀兰市大东杨路v座 164994,王东,02,15700450140,宁夏回族自治区海门县吉区陈街l座 823126,1980-01-24,2024-10-30,02,看到科技更多.,2026-01-03,XX医院
梁艳,01,230000191512233375,1,26,57,04,05,明腾科技有限公司,香港特别行政区沈阳县永川龙街K座 540443,吉林省兴城县滨城西宁街H座 181284,屈萍,01,13870521930,山西省齐齐哈尔县丰都齐齐哈尔街r座 353700,1919-04-27,2001-08-18,04,经营都是资料.,2026-01-07,XX医院
廖强,01,11000019400131601X,1,22,110,01,04,恒聪百汇信息有限公司,辽宁省东莞市清浦太原街a座 385254,黑龙江省俊县怀柔南宁街C座 965962,宋桂芝,01,13480495138,山西省雷市萧山许街m座 586224,2025-02-17,2020-07-26,01,广告任何可能人民地区.,2026-01-04,XX医院
孔晶,01,500000196408219141,1,39,119,09,02,商软冠联信息有限公司,甘肃省云市大兴海口街a座 740088,甘肃省潜江市门头沟任路Z座 878847,温秀英,01,15598382724,西藏自治区沈阳市上街关岭路p座 914777,1995-08-31,2002-02-23,05,大家全国完成什么关系表示.,2026-01-11,XX医院
郎兵,01,420000192011092084,1,53,54,04,05,九方传媒有限公司,青海省合肥县闵行聂街V座 317211,甘肃省哈尔滨市六枝特费街N座 143175,李玉英,05,15361358141,河南省兴城县黄浦邓街C座 620313,1939-06-11,2018-12-22,02,本站能够中心作为两个.,2026-01-09,XX医院
郑玉华,01,610000195204229381,0,49,92,01,01,东方峻景传媒有限公司,安徽省建军市璧山银川街b座 120968,山西省雪市闵行兰州街t座 664555,陈敏,04,13873240232,黑龙江省玉兰市西夏东莞街y座 798069,1926-11-09,2012-08-29,05,地址部门说明得到电子首页工具.,2026-01-03,XX医院
朱莹,01,340000200005288969,0,31,97,05,07,襄樊地球村传媒有限公司,浙江省亮县长寿太原路P座 697066,辽宁省拉萨县江北淮安路N座 142259,陈桂芝,02,15307787507,陕西省北京市白云郭路z座 211691,1914-03-22,2007-10-17,02,论坛之后帖子工作原因根据原因.,2026-01-05,XX医院
叶玲,01,120000197703095640,1,19,94,09,01,菊风公司信息有限公司,云南省汕尾市永川昆明路j座 419540,四川省华市平山巢湖街V座 641288,刘倩,01,13208082150,台湾省军县大东周路P座 105656,2023-03-04,2009-12-16,02,日期发展选择.,2026-01-02,XX医院
